param_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
0,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.0001,
1,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,1e-05,
2,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,0.0001,
3,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,1e-05,
4,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,0.0001,
5,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,1e-05,
6,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,0.0001,
7,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,1e-05,
8,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,0.0001,
9,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,1e-05,
10,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,0.0001,
11,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,1e-05,
12,KL,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,0.0001,
13,KL,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,1e-05,
14,KL,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,0.0001,
15,KL,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,1e-05,
16,KL,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,0.0001,
17,KL,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,1e-05,
18,KL,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,0.0001,
19,KL,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,1e-05,
20,KL,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,0.0001,
21,KL,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,1e-05,
22,KL,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,0.0001,
23,KL,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,1e-05,
24,KL,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,0.0001,
25,KL,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,1e-05,
26,KL,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,0.0001,
27,KL,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,1e-05,
28,KL,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,0.0001,
29,KL,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,1e-05,
30,KL,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,0.0001,
31,KL,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,1e-05,
32,KL,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,0.0001,
33,KL,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,1e-05,
34,KL,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,0.0001,
35,KL,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,1e-05,
36,KL,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,0.0001,
37,KL,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,1e-05,
38,KL,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,0.0001,
39,KL,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,1e-05,
40,KL,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,1.0,0.0001,
41,KL,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,1.0,1e-05,
42,KL,0,5,500,2,20,999,999,999,1,10.0,1.0,0.0001,0.001,0.1,0.0001,
43,KL,0,5,500,2,20,999,999,999,1,10.0,1.0,0.0001,0.001,0.1,1e-05,
44,KL,0,5,500,2,20,999,999,999,1,10.0,1.0,0.0001,0.001,0.5,0.0001,
45,KL,0,5,500,2,20,999,999,999,1,10.0,1.0,0.0001,0.001,0.5,1e-05,
46,KL,0,5,500,2,20,999,999,999,1,10.0,1.0,0.0001,0.001,1.0,0.0001,
47,KL,0,5,500,2,20,999,999,999,1,10.0,1.0,0.0001,0.001,1.0,1e-05,
48,KL,0,5,500,2,20,999,999,999,1,10.0,10.0,0.0001,0.001,0.1,0.0001,
49,KL,0,5,500,2,20,999,999,999,1,10.0,10.0,0.0001,0.001,0.1,1e-05,
50,KL,0,5,500,2,20,999,999,999,1,10.0,10.0,0.0001,0.001,0.5,0.0001,
51,KL,0,5,500,2,20,999,999,999,1,10.0,10.0,0.0001,0.001,0.5,1e-05,
52,KL,0,5,500,2,20,999,999,999,1,10.0,10.0,0.0001,0.001,1.0,0.0001,
53,KL,0,5,500,2,20,999,999,999,1,10.0,10.0,0.0001,0.001,1.0,1e-05,
54,KL,0,5,500,2,20,999,999,999,2,0.1,0.1,0.0001,0.001,0.1,0.0001,
55,KL,0,5,500,2,20,999,999,999,2,0.1,0.1,0.0001,0.001,0.1,1e-05,
56,KL,0,5,500,2,20,999,999,999,2,0.1,0.1,0.0001,0.001,0.5,0.0001,
57,KL,0,5,500,2,20,999,999,999,2,0.1,0.1,0.0001,0.001,0.5,1e-05,
58,KL,0,5,500,2,20,999,999,999,2,0.1,0.1,0.0001,0.001,1.0,0.0001,
59,KL,0,5,500,2,20,999,999,999,2,0.1,0.1,0.0001,0.001,1.0,1e-05,
60,KL,0,5,500,2,20,999,999,999,2,0.1,1.0,0.0001,0.001,0.1,0.0001,
61,KL,0,5,500,2,20,999,999,999,2,0.1,1.0,0.0001,0.001,0.1,1e-05,
62,KL,0,5,500,2,20,999,999,999,2,0.1,1.0,0.0001,0.001,0.5,0.0001,
