param_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
0,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,
1,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,1.0,
2,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,8.0,
3,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,0.5,
4,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,1.0,
5,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,8.0,
6,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,0.5,
7,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,1.0,
8,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,8.0,
9,surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,0.5,
10,surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,1.0,
11,surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,8.0,
12,surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,0.5,
13,surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,1.0,
14,surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,8.0,
15,surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,0.5,
16,surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,1.0,
17,surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,8.0,
18,surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,0.5,
19,surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,1.0,
20,surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,8.0,
21,surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,0.5,
22,surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,1.0,
23,surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,8.0,
24,surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,0.5,
25,surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,1.0,
26,surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,8.0,
27,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,0.5,
28,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,1.0,
29,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,8.0,
30,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,0.5,
31,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,1.0,
32,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,8.0,
33,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,0.5,
34,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,1.0,
35,surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,8.0,
36,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,0.5,
37,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,1.0,
38,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,8.0,
39,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,0.5,
40,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,1.0,
41,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,8.0,
42,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,0.5,
43,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,1.0,
44,surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,8.0,
45,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,0.5,
46,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,1.0,
47,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,8.0,
48,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,0.5,
49,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,1.0,
50,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,8.0,
51,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,0.5,
52,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,1.0,
53,surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,8.0,
54,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,0.5,
55,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,1.0,
56,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,8.0,
57,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,0.5,
58,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,1.0,
59,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,8.0,
60,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,1.0,0.5,
61,surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,1.0,1.0,
