param_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
0,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.0001,3
1,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.0001,5
2,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,1e-05,3
3,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,1e-05,5
4,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,0.0001,3
5,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,0.0001,5
6,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,1e-05,3
7,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,1e-05,5
8,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,0.0001,3
9,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,0.0001,5
10,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,1e-05,3
11,KL,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,1e-05,5
12,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,0.0001,3
13,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,0.0001,5
14,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,1e-05,3
15,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,1e-05,5
16,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,0.0001,3
17,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,0.0001,5
18,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,1e-05,3
19,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,1e-05,5
20,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,0.0001,3
21,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,0.0001,5
22,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,1e-05,3
23,KL,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,1e-05,5
24,KL,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,0.0001,3
25,KL,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,0.0001,5
