param_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
0,EIG,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.0001,5
1,EIG,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,1e-05,5
2,EIG,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,0.0001,5
3,EIG,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,1e-05,5
4,EIG,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,0.0001,5
5,EIG,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,1e-05,5
6,EIG,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,0.0001,5
7,EIG,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,1e-05,5
8,EIG,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,0.0001,5
9,EIG,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,1e-05,5
10,EIG,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,0.0001,5
11,EIG,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,1e-05,5
12,EIG,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,0.0001,5
13,EIG,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,1e-05,5
14,EIG,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,0.0001,5
15,EIG,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,1e-05,5
16,EIG,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,0.0001,5
17,EIG,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,1e-05,5
18,EIG,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,0.0001,5
19,EIG,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,1e-05,5
20,EIG,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,0.0001,5
21,EIG,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,1e-05,5
22,EIG,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,0.0001,5
23,EIG,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,1e-05,5
24,EIG,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,0.0001,5
25,EIG,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,1e-05,5
