param_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
0,no_learning,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.0001,5
1,no_learning,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,1e-05,5
2,no_learning,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,0.0001,5
3,no_learning,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,1e-05,5
4,no_learning,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,0.0001,5
5,no_learning,0,5,500,5,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,1e-05,5
6,no_learning,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,0.0001,5
7,no_learning,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,1e-05,5
8,no_learning,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,0.0001,5
9,no_learning,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,1e-05,5
10,no_learning,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,0.0001,5
11,no_learning,0,5,500,5,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,1e-05,5
12,no_learning,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,0.0001,5
13,no_learning,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,1e-05,5
14,no_learning,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,0.0001,5
15,no_learning,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,1e-05,5
16,no_learning,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,0.0001,5
17,no_learning,0,5,500,5,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,1e-05,5
18,no_learning,0,5,500,5,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,0.0001,5
19,no_learning,0,5,500,5,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,1e-05,5
20,no_learning,0,5,500,5,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,0.0001,5
21,no_learning,0,5,500,5,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,1e-05,5
22,no_learning,0,5,500,5,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,0.0001,5
23,no_learning,0,5,500,5,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,1e-05,5
24,no_learning,0,5,500,5,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,0.0001,5
25,no_learning,0,5,500,5,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,1e-05,5
26,no_learning,0,5,500,5,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,0.0001,5
27,no_learning,0,5,500,5,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,1e-05,5
28,no_learning,0,5,500,5,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,0.0001,5
29,no_learning,0,5,500,5,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,1e-05,5
30,no_learning,0,5,500,5,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,0.0001,5
