param_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
0,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,5
2,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,1.0,3
3,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,1.0,5
4,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,8.0,3
5,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,8.0,5
6,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,0.5,3
7,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,0.5,5
8,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,1.0,3
9,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,1.0,5
10,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,8.0,3
11,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,8.0,5
12,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,0.5,3
13,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,0.5,5
14,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,1.0,3
15,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,1.0,5
16,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,8.0,3
17,surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,8.0,5
18,surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,0.5,3
