param_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
0,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,5
2,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,1.0,3
3,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,1.0,5
4,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,8.0,3
5,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,8.0,5
6,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,0.5,3
7,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,0.5,5
8,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,1.0,3
9,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,1.0,5
10,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,8.0,3
11,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.5,8.0,5
12,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,0.5,3
13,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,0.5,5
14,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,1.0,3
15,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,1.0,5
16,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,8.0,3
17,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,0.1,0.0001,0.001,1.0,8.0,5
18,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,0.5,3
19,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,0.5,5
20,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,1.0,3
21,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,1.0,5
22,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,8.0,3
23,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.1,8.0,5
24,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,0.5,3
25,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,0.5,5
26,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,1.0,3
27,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,1.0,5
28,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,8.0,3
29,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,0.5,8.0,5
30,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,0.5,3
31,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,0.5,5
32,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,1.0,3
33,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,1.0,5
34,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,8.0,3
35,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,1.0,0.0001,0.001,1.0,8.0,5
36,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,0.5,3
37,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,0.5,5
38,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,1.0,3
39,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,1.0,5
40,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,8.0,3
41,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.1,8.0,5
42,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,0.5,3
43,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,0.5,5
44,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,1.0,3
45,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,1.0,5
46,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,8.0,3
47,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,0.5,8.0,5
48,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,0.5,3
49,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,0.5,5
50,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,1.0,3
51,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,1.0,5
52,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,8.0,3
53,quad_surprisal,0,5,500,2,20,999,999,999,1,0.1,10.0,0.0001,0.001,1.0,8.0,5
54,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,0.5,3
55,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,0.5,5
56,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,1.0,3
57,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,1.0,5
58,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,8.0,3
59,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.1,8.0,5
60,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,0.5,3
61,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,0.5,5
62,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,1.0,3
63,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,1.0,5
64,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,8.0,3
65,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,0.5,8.0,5
66,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,0.5,3
67,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,0.5,5
68,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,1.0,3
69,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,1.0,5
70,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,8.0,3
71,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,0.1,0.0001,0.001,1.0,8.0,5
72,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,0.5,3
73,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,0.5,5
74,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,1.0,3
75,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,1.0,5
76,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,8.0,3
77,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.1,8.0,5
78,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,0.5,3
79,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,0.5,5
80,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,1.0,3
81,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,1.0,5
82,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,8.0,3
83,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,0.5,8.0,5
84,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,0.5,3
85,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,0.5,5
86,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,1.0,3
87,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,1.0,5
88,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,8.0,3
89,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,1.0,0.0001,0.001,1.0,8.0,5
90,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,0.5,3
91,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,0.5,5
92,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,1.0,3
93,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,1.0,5
94,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,8.0,3
95,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.1,8.0,5
96,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,0.5,3
97,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,0.5,5
98,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,1.0,3
99,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,1.0,5
100,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,8.0,3
101,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,0.5,8.0,5
102,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,0.5,3
103,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,0.5,5
104,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,1.0,3
105,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,1.0,5
106,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,8.0,3
107,quad_surprisal,0,5,500,2,20,999,999,999,1,1.0,10.0,0.0001,0.001,1.0,8.0,5
108,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,0.5,3
109,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,0.5,5
110,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,1.0,3
111,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,1.0,5
112,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,8.0,3
113,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.1,8.0,5
114,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,0.5,3
115,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,0.5,5
116,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,1.0,3
117,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,1.0,5
118,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,8.0,3
119,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,0.5,8.0,5
120,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,1.0,0.5,3
121,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,1.0,0.5,5
122,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,1.0,1.0,3
123,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,1.0,1.0,5
124,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,1.0,8.0,3
125,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,0.1,0.0001,0.001,1.0,8.0,5
126,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,1.0,0.0001,0.001,0.1,0.5,3
127,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,1.0,0.0001,0.001,0.1,0.5,5
128,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,1.0,0.0001,0.001,0.1,1.0,3
129,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,1.0,0.0001,0.001,0.1,1.0,5
130,quad_surprisal,0,5,500,2,20,999,999,999,1,10.0,1.0,0.0001,0.001,0.1,8.0,3
