fam,test,violation_type
animate_001_left.png,animate_001_left.png,background
animate_001_left.png,animate_002_left.png,identity
animate_001_left.png,animate_003_left.png,identity
animate_001_left.png,animate_004_left.png,identity
animate_001_left.png,animate_005_left.png,identity
animate_001_left.png,animate_006_left.png,identity
animate_001_left.png,animate_007_left.png,identity
animate_001_left.png,animate_008_left.png,identity
animate_001_left.png,animate_009_left.png,identity
animate_001_left.png,animate_010_left.png,identity
animate_001_left.png,animate_011_left.png,identity
animate_001_left.png,animate_012_left.png,identity
animate_001_left.png,animate_013_left.png,identity
animate_001_left.png,animate_014_left.png,identity
animate_001_left.png,animate_015_left.png,identity
animate_001_left.png,animate_016_left.png,identity
animate_001_left.png,animate_017_left.png,identity
animate_001_left.png,animate_018_left.png,identity
animate_001_left.png,animate_019_left.png,identity
animate_001_left.png,animate_020_left.png,identity
animate_001_left.png,animate_021_left.png,identity
animate_001_left.png,animate_022_left.png,identity
animate_001_left.png,animate_023_left.png,identity
animate_001_left.png,animate_024_left.png,identity
animate_001_left.png,animate_025_left.png,identity
animate_001_left.png,animate_026_left.png,identity
animate_001_left.png,animate_027_left.png,identity
animate_001_left.png,animate_028_left.png,identity
animate_001_left.png,animate_029_left.png,identity
animate_001_left.png,animate_030_left.png,identity
animate_001_left.png,animate_031_left.png,identity
animate_001_left.png,animate_032_left.png,identity
animate_001_right.png,animate_001_right.png,background
animate_001_right.png,animate_002_right.png,identity
animate_001_right.png,animate_003_right.png,identity
animate_001_right.png,animate_004_right.png,identity
animate_001_right.png,animate_005_right.png,identity
animate_001_right.png,animate_006_right.png,identity
animate_001_right.png,animate_007_right.png,identity
animate_001_right.png,animate_008_right.png,identity
animate_001_right.png,animate_009_right.png,identity
animate_001_right.png,animate_010_right.png,identity
animate_001_right.png,animate_011_right.png,identity
animate_001_right.png,animate_012_right.png,identity
animate_001_right.png,animate_013_right.png,identity
animate_001_right.png,animate_014_right.png,identity
animate_001_right.png,animate_015_right.png,identity
animate_001_right.png,animate_016_right.png,identity
animate_001_right.png,animate_017_right.png,identity
animate_001_right.png,animate_018_right.png,identity
animate_001_right.png,animate_019_right.png,identity
animate_001_right.png,animate_020_right.png,identity
animate_001_right.png,animate_021_right.png,identity
animate_001_right.png,animate_022_right.png,identity
animate_001_right.png,animate_023_right.png,identity
animate_001_right.png,animate_024_right.png,identity
animate_001_right.png,animate_025_right.png,identity
animate_001_right.png,animate_026_right.png,identity
animate_001_right.png,animate_027_right.png,identity
animate_001_right.png,animate_028_right.png,identity
animate_001_right.png,animate_029_right.png,identity
animate_001_right.png,animate_030_right.png,identity
animate_001_right.png,animate_031_right.png,identity
animate_001_right.png,animate_032_right.png,identity
animate_002_right.png,animate_001_right.png,identity
animate_002_right.png,animate_002_right.png,background
animate_002_right.png,animate_003_right.png,identity
animate_002_right.png,animate_004_right.png,identity
animate_002_right.png,animate_005_right.png,identity
animate_002_right.png,animate_006_right.png,identity
animate_002_right.png,animate_007_right.png,identity
animate_002_right.png,animate_008_right.png,identity
animate_002_right.png,animate_009_right.png,identity
animate_002_right.png,animate_010_right.png,identity
animate_002_right.png,animate_011_right.png,identity
animate_002_right.png,animate_012_right.png,identity
animate_002_right.png,animate_013_right.png,identity
animate_002_right.png,animate_014_right.png,identity
animate_002_right.png,animate_015_right.png,identity
animate_002_right.png,animate_016_right.png,identity
animate_002_right.png,animate_017_right.png,identity
animate_002_right.png,animate_018_right.png,identity
animate_002_right.png,animate_019_right.png,identity
animate_002_right.png,animate_020_right.png,identity
animate_002_right.png,animate_021_right.png,identity
animate_002_right.png,animate_022_right.png,identity
animate_002_right.png,animate_023_right.png,identity
animate_002_right.png,animate_024_right.png,identity
animate_002_right.png,animate_025_right.png,identity
animate_002_right.png,animate_026_right.png,identity
animate_002_right.png,animate_027_right.png,identity
animate_002_right.png,animate_028_right.png,identity
animate_002_right.png,animate_029_right.png,identity
animate_002_right.png,animate_030_right.png,identity
animate_002_right.png,animate_031_right.png,identity
animate_002_right.png,animate_032_right.png,identity
animate_002_left.png,animate_001_left.png,identity
animate_002_left.png,animate_002_left.png,background
animate_002_left.png,animate_003_left.png,identity
animate_002_left.png,animate_004_left.png,identity
animate_002_left.png,animate_005_left.png,identity
animate_002_left.png,animate_006_left.png,identity
animate_002_left.png,animate_007_left.png,identity
animate_002_left.png,animate_008_left.png,identity
animate_002_left.png,animate_009_left.png,identity
animate_002_left.png,animate_010_left.png,identity
animate_002_left.png,animate_011_left.png,identity
animate_002_left.png,animate_012_left.png,identity
animate_002_left.png,animate_013_left.png,identity
animate_002_left.png,animate_014_left.png,identity
animate_002_left.png,animate_015_left.png,identity
animate_002_left.png,animate_016_left.png,identity
animate_002_left.png,animate_017_left.png,identity
animate_002_left.png,animate_018_left.png,identity
animate_002_left.png,animate_019_left.png,identity
animate_002_left.png,animate_020_left.png,identity
animate_002_left.png,animate_021_left.png,identity
animate_002_left.png,animate_022_left.png,identity
animate_002_left.png,animate_023_left.png,identity
animate_002_left.png,animate_024_left.png,identity
animate_002_left.png,animate_025_left.png,identity
animate_002_left.png,animate_026_left.png,identity
animate_002_left.png,animate_027_left.png,identity
animate_002_left.png,animate_028_left.png,identity
animate_002_left.png,animate_029_left.png,identity
animate_002_left.png,animate_030_left.png,identity
animate_002_left.png,animate_031_left.png,identity
animate_002_left.png,animate_032_left.png,identity
animate_003_left.png,animate_001_left.png,identity
animate_003_left.png,animate_002_left.png,identity
animate_003_left.png,animate_003_left.png,background
animate_003_left.png,animate_004_left.png,identity
animate_003_left.png,animate_005_left.png,identity
animate_003_left.png,animate_006_left.png,identity
animate_003_left.png,animate_007_left.png,identity
