,embedding_type,feature_n,fam_duration,trial_id,fam,test,violation_type,stim_id
408,resnet_pa,3,4,8,animate_001_left.png,animate_001_left.png,background,24
431,resnet_pa,3,4,8,animate_012_right.png,animate_012_right.png,background,47
432,resnet_pa,3,4,9,animate_001_left.png,animate_002_left.png,identity,0
455,resnet_pa,3,4,9,animate_012_right.png,animate_012_right.png,identity,23
504,resnet_pa,3,5,10,animate_001_left.png,animate_001_left.png,background,24
527,resnet_pa,3,5,10,animate_012_right.png,animate_012_right.png,background,47
528,resnet_pa,3,5,11,animate_001_left.png,animate_002_left.png,identity,0
551,resnet_pa,3,5,11,animate_012_right.png,animate_012_right.png,identity,23
600,resnet_pa,3,6,12,animate_001_left.png,animate_001_left.png,background,24
623,resnet_pa,3,6,12,animate_012_right.png,animate_012_right.png,background,47
624,resnet_pa,3,6,13,animate_001_left.png,animate_002_left.png,identity,0
647,resnet_pa,3,6,13,animate_012_right.png,animate_012_right.png,identity,23
696,resnet_pa,3,7,14,animate_001_left.png,animate_001_left.png,background,24
719,resnet_pa,3,7,14,animate_012_right.png,animate_012_right.png,background,47
720,resnet_pa,3,7,15,animate_001_left.png,animate_002_left.png,identity,0
743,resnet_pa,3,7,15,animate_012_right.png,animate_012_right.png,identity,23
792,resnet_pa,3,8,16,animate_001_left.png,animate_001_left.png,background,24
815,resnet_pa,3,8,16,animate_012_right.png,animate_012_right.png,background,47
816,resnet_pa,3,8,17,animate_001_left.png,animate_002_left.png,identity,0
839,resnet_pa,3,8,17,animate_012_right.png,animate_012_right.png,identity,23
888,resnet_pa,3,9,18,animate_001_left.png,animate_001_left.png,background,24
911,resnet_pa,3,9,18,animate_012_right.png,animate_012_right.png,background,47
912,resnet_pa,3,9,19,animate_001_left.png,animate_002_left.png,identity,0
935,resnet_pa,3,9,19,animate_012_right.png,animate_012_right.png,identity,23
