,embedding_type,feature_n,fam_duration,trial_id,fam,test,violation_type,stim_id
0,resnet_pa,3,8,0,animate_001_right.png,veggie_6_left.png,animacy,0
1,resnet_pa,3,8,0,animate_002_left.png,veggie_9_left.png,animacy,1
2,resnet_pa,3,8,0,animate_003_right.png,veggie_13_left.png,animacy,2
3,resnet_pa,3,8,0,animate_004_left.png,veggie_4_left.png,animacy,3
4,resnet_pa,3,8,0,animate_005_right.png,veggie_38_left.png,animacy,4
5,resnet_pa,3,8,0,animate_006_left.png,veggie_42_left.png,animacy,5
6,resnet_pa,3,8,8,animate_001_right.png,animate_001_left.png,pose,6
7,resnet_pa,3,8,8,animate_002_left.png,animate_002_right.png,pose,7
8,resnet_pa,3,8,8,animate_003_right.png,animate_003_left.png,pose,8
9,resnet_pa,3,8,8,animate_004_left.png,animate_004_right.png,pose,9
10,resnet_pa,3,8,8,animate_005_right.png,animate_005_left.png,pose,10
11,resnet_pa,3,8,8,animate_006_left.png,animate_006_right.png,pose,11
12,resnet_pa,3,8,6,animate_001_right.png,animate_001_right_pair.png,number,12
13,resnet_pa,3,8,6,animate_002_left.png,animate_002_left_pair.png,number,13
14,resnet_pa,3,8,6,animate_003_right.png,animate_003_right_pair.png,number,14
15,resnet_pa,3,8,6,animate_004_left.png,animate_004_left_pair.png,number,15
16,resnet_pa,3,8,6,animate_005_right.png,animate_005_right_pair.png,number,16
17,resnet_pa,3,8,6,animate_006_left.png,animate_006_left_pair.png,number,17
18,resnet_pa,3,8,4,animate_001_right.png,animate_002_right.png,identity,18
19,resnet_pa,3,8,4,animate_002_left.png,animate_001_left.png,identity,19
20,resnet_pa,3,8,4,animate_003_right.png,animate_004_right.png,identity,20
21,resnet_pa,3,8,4,animate_004_left.png,animate_003_left.png,identity,21
22,resnet_pa,3,8,4,animate_005_right.png,animate_006_right.png,identity,22
23,resnet_pa,3,8,4,animate_006_left.png,animate_005_left.png,identity,23
24,resnet_pa,3,8,2,animate_001_right.png,animate_001_right.png,background,24
25,resnet_pa,3,8,2,animate_002_left.png,animate_002_left.png,background,25
26,resnet_pa,3,8,2,animate_003_right.png,animate_003_right.png,background,26
27,resnet_pa,3,8,2,animate_004_left.png,animate_004_left.png,background,27
28,resnet_pa,3,8,2,animate_005_right.png,animate_005_right.png,background,28
29,resnet_pa,3,8,2,animate_006_left.png,animate_006_left.png,background,29
30,resnet_pa,3,8,0,animate_001_right.png,veggie_6_left.png,animacy,0
31,resnet_pa,3,8,0,animate_002_left.png,veggie_9_left.png,animacy,1
32,resnet_pa,3,8,0,animate_003_right.png,veggie_13_left.png,animacy,2
33,resnet_pa,3,8,0,animate_004_left.png,veggie_4_left.png,animacy,3
34,resnet_pa,3,8,0,animate_005_right.png,veggie_38_left.png,animacy,4
35,resnet_pa,3,8,0,animate_006_left.png,veggie_42_left.png,animacy,5
36,resnet_pa,3,8,8,animate_001_right.png,animate_001_left.png,pose,6
37,resnet_pa,3,8,8,animate_002_left.png,animate_002_right.png,pose,7
38,resnet_pa,3,8,8,animate_003_right.png,animate_003_left.png,pose,8
39,resnet_pa,3,8,8,animate_004_left.png,animate_004_right.png,pose,9
40,resnet_pa,3,8,8,animate_005_right.png,animate_005_left.png,pose,10
41,resnet_pa,3,8,8,animate_006_left.png,animate_006_right.png,pose,11
42,resnet_pa,3,8,6,animate_001_right.png,animate_001_right_pair.png,number,12
43,resnet_pa,3,8,6,animate_002_left.png,animate_002_left_pair.png,number,13
44,resnet_pa,3,8,6,animate_003_right.png,animate_003_right_pair.png,number,14
45,resnet_pa,3,8,6,animate_004_left.png,animate_004_left_pair.png,number,15
46,resnet_pa,3,8,6,animate_005_right.png,animate_005_right_pair.png,number,16
47,resnet_pa,3,8,6,animate_006_left.png,animate_006_left_pair.png,number,17
48,resnet_pa,3,8,4,animate_001_right.png,animate_002_right.png,identity,18
49,resnet_pa,3,8,4,animate_002_left.png,animate_001_left.png,identity,19
50,resnet_pa,3,8,4,animate_003_right.png,animate_004_right.png,identity,20
51,resnet_pa,3,8,4,animate_004_left.png,animate_003_left.png,identity,21
52,resnet_pa,3,8,4,animate_005_right.png,animate_006_right.png,identity,22
53,resnet_pa,3,8,4,animate_006_left.png,animate_005_left.png,identity,23
54,resnet_pa,3,8,2,animate_001_right.png,animate_001_right.png,background,24
55,resnet_pa,3,8,2,animate_002_left.png,animate_002_left.png,background,25
56,resnet_pa,3,8,2,animate_003_right.png,animate_003_right.png,background,26
57,resnet_pa,3,8,2,animate_004_left.png,animate_004_left.png,background,27
58,resnet_pa,3,8,2,animate_005_right.png,animate_005_right.png,background,28
59,resnet_pa,3,8,2,animate_006_left.png,animate_006_left.png,background,29
60,resnet_pa,3,9,1,animate_001_right.png,veggie_6_left.png,animacy,0
61,resnet_pa,3,9,1,animate_002_left.png,veggie_9_left.png,animacy,1
62,resnet_pa,3,9,1,animate_003_right.png,veggie_13_left.png,animacy,2
63,resnet_pa,3,9,1,animate_004_left.png,veggie_4_left.png,animacy,3
64,resnet_pa,3,9,1,animate_005_right.png,veggie_38_left.png,animacy,4
65,resnet_pa,3,9,1,animate_006_left.png,veggie_42_left.png,animacy,5
66,resnet_pa,3,9,9,animate_001_right.png,animate_001_left.png,pose,6
67,resnet_pa,3,9,9,animate_002_left.png,animate_002_right.png,pose,7
68,resnet_pa,3,9,9,animate_003_right.png,animate_003_left.png,pose,8
69,resnet_pa,3,9,9,animate_004_left.png,animate_004_right.png,pose,9
70,resnet_pa,3,9,9,animate_005_right.png,animate_005_left.png,pose,10
71,resnet_pa,3,9,9,animate_006_left.png,animate_006_right.png,pose,11
72,resnet_pa,3,9,7,animate_001_right.png,animate_001_right_pair.png,number,12
73,resnet_pa,3,9,7,animate_002_left.png,animate_002_left_pair.png,number,13
74,resnet_pa,3,9,7,animate_003_right.png,animate_003_right_pair.png,number,14
75,resnet_pa,3,9,7,animate_004_left.png,animate_004_left_pair.png,number,15
76,resnet_pa,3,9,7,animate_005_right.png,animate_005_right_pair.png,number,16
77,resnet_pa,3,9,7,animate_006_left.png,animate_006_left_pair.png,number,17
78,resnet_pa,3,9,5,animate_001_right.png,animate_002_right.png,identity,18
79,resnet_pa,3,9,5,animate_002_left.png,animate_001_left.png,identity,19
80,resnet_pa,3,9,5,animate_003_right.png,animate_004_right.png,identity,20
81,resnet_pa,3,9,5,animate_004_left.png,animate_003_left.png,identity,21
82,resnet_pa,3,9,5,animate_005_right.png,animate_006_right.png,identity,22
83,resnet_pa,3,9,5,animate_006_left.png,animate_005_left.png,identity,23
84,resnet_pa,3,9,3,animate_001_right.png,animate_001_right.png,background,24
85,resnet_pa,3,9,3,animate_002_left.png,animate_002_left.png,background,25
86,resnet_pa,3,9,3,animate_003_right.png,animate_003_right.png,background,26
87,resnet_pa,3,9,3,animate_004_left.png,animate_004_left.png,background,27
88,resnet_pa,3,9,3,animate_005_right.png,animate_005_right.png,background,28
89,resnet_pa,3,9,3,animate_006_left.png,animate_006_left.png,background,29
90,resnet_pa,3,9,1,animate_001_right.png,veggie_6_left.png,animacy,0
91,resnet_pa,3,9,1,animate_002_left.png,veggie_9_left.png,animacy,1
92,resnet_pa,3,9,1,animate_003_right.png,veggie_13_left.png,animacy,2
93,resnet_pa,3,9,1,animate_004_left.png,veggie_4_left.png,animacy,3
94,resnet_pa,3,9,1,animate_005_right.png,veggie_38_left.png,animacy,4
95,resnet_pa,3,9,1,animate_006_left.png,veggie_42_left.png,animacy,5
96,resnet_pa,3,9,9,animate_001_right.png,animate_001_left.png,pose,6
97,resnet_pa,3,9,9,animate_002_left.png,animate_002_right.png,pose,7
98,resnet_pa,3,9,9,animate_003_right.png,animate_003_left.png,pose,8
99,resnet_pa,3,9,9,animate_004_left.png,animate_004_right.png,pose,9
100,resnet_pa,3,9,9,animate_005_right.png,animate_005_left.png,pose,10
101,resnet_pa,3,9,9,animate_006_left.png,animate_006_right.png,pose,11
102,resnet_pa,3,9,7,animate_001_right.png,animate_001_right_pair.png,number,12
103,resnet_pa,3,9,7,animate_002_left.png,animate_002_left_pair.png,number,13
104,resnet_pa,3,9,7,animate_003_right.png,animate_003_right_pair.png,number,14
105,resnet_pa,3,9,7,animate_004_left.png,animate_004_left_pair.png,number,15
106,resnet_pa,3,9,7,animate_005_right.png,animate_005_right_pair.png,number,16
107,resnet_pa,3,9,7,animate_006_left.png,animate_006_left_pair.png,number,17
108,resnet_pa,3,9,5,animate_001_right.png,animate_002_right.png,identity,18
109,resnet_pa,3,9,5,animate_002_left.png,animate_001_left.png,identity,19
110,resnet_pa,3,9,5,animate_003_right.png,animate_004_right.png,identity,20
111,resnet_pa,3,9,5,animate_004_left.png,animate_003_left.png,identity,21
112,resnet_pa,3,9,5,animate_005_right.png,animate_006_right.png,identity,22
113,resnet_pa,3,9,5,animate_006_left.png,animate_005_left.png,identity,23
114,resnet_pa,3,9,3,animate_001_right.png,animate_001_right.png,background,24
