trial_id,stim_id,param_id,index,sample_n_mean,sample_n_std
0,31,107,0,83.55,56.86315521541723
0,39,17,0,87.35,74.11248563039692
0,32,5,0,84.2,56.38364824551249
0,25,17,0,68.15,48.42278171969971
0,31,107,0,82.1,61.04347027453382
0,39,17,0,74.25,45.811829086061664
0,43,107,0,110.15,68.23201517423358
0,32,5,0,74.0,46.310167122861564
0,25,17,0,81.85,46.837091689116825
0,39,17,0,69.2,46.43569407482273
0,42,107,0,84.5,57.28093280628289
0,25,17,0,68.4,39.63570957715038
0,43,107,0,96.15,52.71200302737409
0,39,17,0,68.1,40.90927060034964
0,42,107,0,79.5,44.846521897643186
0,28,5,0,106.95,67.46966179815854
0,25,17,0,78.55,58.75862758599347
0,40,107,0,83.15,54.79461652388854
0,31,107,0,68.9,36.42714430346226
0,39,17,0,96.2,45.303189152292816
0,28,5,0,87.2,52.7173196347622
0,40,107,0,66.05,42.3251511639667
0,25,17,0,97.05,65.43093988883884
0,31,107,0,65.0,36.71798641423287
0,39,17,0,86.3,48.10744553382016
0,28,5,0,66.15,51.57138639533402
0,25,107,0,84.25,47.79768217238815
0,25,17,0,88.35,41.72500827788382
0,33,107,0,81.85,62.12235380364513
0,39,17,0,74.9,41.43974700186944
0,28,5,0,72.95,50.08358802515735
0,33,107,0,68.35,47.5098604723826
0,25,107,0,95.65,54.75906557966356
0,25,17,0,94.65,61.61960983152582
0,39,17,0,88.85,56.93974192535751
0,27,107,0,57.55,40.53909743756799
0,43,5,0,96.05,57.0654979180203
0,34,107,0,86.9,52.50453614488441
0,25,17,0,85.8,51.08774701175265
0,39,17,0,91.4,48.195217059044566
0,27,107,0,77.35,39.80647262893178
0,34,107,0,71.7,58.193054387507175
0,43,5,0,69.75,47.74369619453221
0,25,17,0,89.25,50.20576083531282
0,39,17,0,63.65,39.59701610235961
0,46,107,0,68.1,43.384328967958005
0,35,107,0,88.1,57.336403426573035
0,34,5,0,87.6,52.45087927615804
0,25,17,0,84.0,37.59059232812044
0,26,17,0,77.9,45.2593694865029
0,46,107,0,77.25,45.5167696106553
0,35,107,0,73.2,57.588010448082166
0,26,17,0,70.6,31.79771590605377
0,34,5,0,76.65,40.8350662002518
0,38,17,0,91.0,38.8451717517255
0,38,107,0,88.35,44.44662677390656
0,25,107,0,85.25,38.73102251765576
0,26,17,0,80.55,51.180254210512004
0,38,17,0,76.35,41.66062763253624
0,35,5,0,84.1,81.43056454492542
0,38,107,0,97.05,54.673648997820166
0,38,17,0,66.7,41.473009612467116
0,25,107,0,85.35,61.97645987750001
0,26,17,0,83.1,63.515352474815096
0,34,107,0,74.85,42.70002465178631
0,38,17,0,77.5,52.68526209582015
0,35,5,0,102.5,43.014685374819805
0,39,107,0,85.85,64.60428126598683
0,26,17,0,95.3,30.781231465396505
0,34,107,0,86.65,62.14098994688568
0,39,107,0,82.3,57.61770561207727
0,38,17,0,94.05,52.318332300799135
0,40,5,0,96.15,54.37421505785526
0,26,17,0,91.95,62.137771376023345
0,42,107,0,85.15,56.03783965932493
0,38,17,0,82.55,46.692132775853096
0,33,107,0,83.55,55.62607775419537
0,26,17,0,68.5,52.644287939258696
0,40,5,0,86.15,50.88819013029293
0,42,107,0,84.0,53.17597399696894
0,38,17,0,66.35,36.34523786948537
0,33,107,0,72.65,46.50328228370439
0,26,17,0,99.0,49.3857000397995
0,39,5,0,85.2,53.084441173820814
0,38,17,0,80.0,44.645975830916015
0,34,107,0,81.85,46.08262031109821
0,27,107,0,109.4,75.17866438656229
0,26,17,0,89.75,52.42827180263075
0,39,5,0,84.0,49.07244912532789
0,38,17,0,79.1,46.180310226671054
0,34,107,0,78.7,50.08319394556896
0,27,107,0,80.55,46.48086759766409
0,26,17,0,72.1,35.74014402232931
0,38,17,0,74.8,52.39987946952791
0,44,5,0,85.8,52.50122805581238
0,27,107,0,85.85,52.61806273814904
0,30,17,0,63.9,40.06560409601916
0,45,107,0,94.4,65.53938149170918
